PROGRAMA_ID;SNIES;PLAN_ESTUDIOS;PROGRAMA_ACADEMICO;FACULTAD;PERSONA_ID_FK
1;108246;6910;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;FACULTAD DE INGENIERÍA;1
2;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;2
3;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;3
4;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;4
5;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;5
6;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;6
7;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;7
8;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;8
9;3347;8310;INGENIERÍA EN HIGIENE Y SEGURIDAD OCUPACIONAL;FACULTAD DE INGENIERÍA;9
10;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;10
11;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;11
12;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;12
13;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;13
14;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;14
15;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;15
16;2859;210;TECNOLOGÍA AGROPECUARIA;FACULTAD DE CIENCIAS AGRARIAS;16
17;3347;8310;INGENIERÍA EN HIGIENE Y SEGURIDAD OCUPACIONAL;FACULTAD DE INGENIERÍA;17
18;1749;309;TECNOLOGÍA EN COSTOS Y AUDITORÍA;FACULTAD DE ADMINISTRACIÓN;18
19;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;19
20;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;20
21;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;21
22;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;22
23;107648;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;23
24;110950;7810;TECNOLOGÍA EN INFRAESTRUCTURA DE TELECOMUNICACIONES;FACULTAD DE INGENIERÍA;24
25;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;25
26;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;26
27;2714;1110;TECNOLOGÍA EN SEGURIDAD E HIGIENE OCUPACIONAL;FACULTAD DE INGENIERÍA;27
28;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;28
29;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;29
30;1751;111;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;30
31;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;31
32;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;32
33;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;33
34;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;34
35;54149;2511;TÉCNICA PROFESIONAL EN MASOTERAPIA;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;35
36;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;36
37;1755;609;TECNOLOGÍA INDUSTRIAL;FACULTAD DE ADMINISTRACIÓN;37
38;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;38
39;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;39
40;1749;309;TECNOLOGÍA EN COSTOS Y AUDITORÍA;FACULTAD DE ADMINISTRACIÓN;40
41;102621;6410;TECNOLOGÍA EN QUÍMICA INDUSTRIAL Y DE LABORATORIO;FACULTAD DE CIENCIAS BÁSICAS SOCIALES Y HUMANAS;41
42;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;42
43;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;43
44;2937;9210;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;44
45;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;45
46;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;46
47;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;47
48;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;48
49;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;49
50;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;50
51;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;51
52;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;52
53;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;53
54;3729;8009;PROFESIONAL EN DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;54
55;3348;8210;INGENIERÍA INFORMÁTICA;FACULTAD DE INGENIERÍA;55
56;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;56
57;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;57
58;108727;7510;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;58
59;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;59
60;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;60
61;54149;2511;TÉCNICA PROFESIONAL EN MASOTERAPIA;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;61
62;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;62
63;105388;112;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;63
64;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;64
65;2937;9209;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;65
66;108270;8710;INGENIERÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;FACULTAD DE INGENIERÍA;66
67;1751;113;TECNOLOGÍA EN CONSTRUCCIONES CIVILES;FACULTAD DE INGENIERÍA;67
68;2540;9010;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;68
69;3347;8310;INGENIERÍA EN HIGIENE Y SEGURIDAD OCUPACIONAL;FACULTAD DE INGENIERÍA;69
70;55167;2011;COMUNICACIÓN AUDIOVISUAL;FACULTAD DE COMUNICACIÓN AUDIOVISUAL;70
71;3689;9511;INGENIERÍA CIVIL;FACULTAD DE INGENIERÍA;71
72;2937;9210;INGENIERÍA DE PRODUCTIVIDAD  Y CALIDAD;FACULTAD DE ADMINISTRACIÓN;72
73;2540;9011;CONTADURÍA PÚBLICA;FACULTAD DE ADMINISTRACIÓN;73
74;110348;7610;INGENIERÍA EN AUTOMATIZACIÓN Y CONTROL;FACULTAD DE INGENIERÍA;74
75;108620;8810;ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN;75
76;3801;8409;LICENCIATURA EN EDUCACIÓN BÁSICA CON ÉNFASIS EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPROTE;FACULTAD DE EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;76
